,ano,sigla_uf,id_municipio,numero_obitos,tempo_emprego,quantidade_pessoas,quantidade_pessoas_brancas,quantidade_pessoas_negras,quantidade_pessoas_indigenas,quantidade_pessoas_amarelas,quantidade_estabelecimentos_ensino_infantil,quantidade_estabelecimentos_ensino_fundamental,quantidade_estabelecimentos_ensino_medio,seguranca,assistencia,previdencia,total,taxa_abandono_ef,taxa_reprovacao_ef,taxa_aprovacao_ef,taxa_abandono_em,taxa_reprovacao_em,taxa_aprovacao_em,atu_ei,atu_ef,atu_em,populacao
2116,2019,MG,3165578,36,2.1621621621621623,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,253675.56,2792481.54,0.0,178452788.13000005,0.8,5.300000000000001,93.9,9.9,6.0,84.10000000000001,15.799999999999999,22.499999999999996,30.7,5356.0
2117,2019,MG,3165602,24,8.0,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,0.0,1912337.8900000001,3262716.74,264414496.5899997,0.0,6.499999999999999,93.50000000000001,1.5999999999999999,4.5,93.89999999999999,13.0,13.833333333333334,23.3,2005.0
2118,2019,MG,3165701,62,14.666666666666666,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,279582.80000000005,2860352.1599999997,3004770.5599999996,1789347410.790001,0.09090909090909091,5.027272727272727,94.88181818181819,1.4000000000000001,11.799999999999999,86.8,22.833333333333336,20.418181818181814,29.7,7812.0
2119,2019,MG,3165800,17,,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,179043.3,3038635.68,0.0,98773399.91999997,2.6999999999999997,2.0,95.3,0.0,1.7,98.3,12.799999999999999,17.2,19.3,1502.0
2120,2019,MG,3165909,27,,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,90257.00000000001,2698486.62,4069940.6399999997,124726457.00999995,1.0,1.4,97.6,3.6,4.3999999999999995,92.0,15.6,17.236363636363635,24.900000000000002,4156.0
2121,2019,MG,3166006,44,12.666666666666666,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,0.0,2256094.63,4039596.26,231726496.37999994,0.10909090909090909,5.381818181818182,94.5090909090909,7.6000000000000005,3.6,88.8,13.199999999999998,20.40909090909091,25.099999999999998,5786.0
2122,2019,MG,3166105,26,11.666666666666666,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,151609.02,4701971.620000001,8763246.959999999,207863462.64000013,0.36363636363636365,10.754545454545456,88.88181818181818,10.200000000000001,18.5,71.3,13.1,15.4,31.400000000000002,3523.0
2123,2019,MG,3166204,90,68.0,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,0.0,3668994.0199999996,7111309.319999999,134787934.04999998,0.19999999999999998,3.6,96.2,3.9,7.3,88.8,12.466666666666667,17.33636363636364,30.0,10459.0
2124,2019,MG,3166303,53,3.0,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,219618.5,2858479.36,458052.0,182362900.5900001,0.2818181818181818,8.99090909090909,90.7272727272727,2.1999999999999997,16.2,81.60000000000001,12.800000000000002,17.83636363636364,29.8,7326.0
2125,2019,MG,3166402,16,39.5,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,0.0,1788333.6600000001,2611901.08,186592242.38999996,0.3333333333333333,3.8333333333333326,95.83333333333333,0.0,6.8999999999999995,93.10000000000001,15.700000000000001,13.299999999999999,20.0,1851.0
2126,2019,MG,3166501,24,,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,302272.62,3165678.12,4322509.199999999,138396952.73999977,2.1,4.3,93.6,3.1,12.1,84.8,10.933333333333334,18.240000000000002,36.4,4293.0
2127,2019,MG,3166600,4,,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,0.0,2409971.2800000003,5501248.56,886266926.9399999,4.5,5.7,89.8,,,,8.0,9.0,,781.0
2128,2019,MG,3166709,70,0.1609442060085837,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,177268.12,4346078.4399999995,4204611.149999999,233507326.65000013,0.7538461538461539,4.123076923076923,95.12307692307692,3.033333333333334,8.666666666666666,88.30000000000001,15.372727272727273,17.75384615384615,28.433333333333337,8699.0
2129,2019,MG,3166808,87,1.39375,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,401291.94000000006,7949799.930000001,17076884.02,140188583.94000006,1.6307692307692307,1.776923076923077,96.59230769230768,8.9,7.5,83.60000000000001,15.818181818181815,17.7,33.9,11582.0
2130,2019,MG,3166907,69,11.283464566929133,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,259401.62,3699544.7000000007,709044.0599999999,146720988.0300001,1.4500000000000002,4.2,94.35,7.6000000000000005,5.8,86.60000000000001,16.675,22.424999999999997,31.400000000000002,7669.0
2131,2019,MG,3166956,29,,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,0.0,3854625.5700000003,0.0,112717252.26,0.16363636363636364,1.8727272727272728,97.96363636363635,5.3,3.9,90.8,12.466666666666665,16.10909090909091,20.400000000000002,4781.0
2132,2019,MG,3167004,23,0.0,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,0.0,1748985.9000000001,9619451.4,177349921.5000001,0.5,12.4,87.10000000000001,1.5999999999999999,9.5,88.89999999999999,10.700000000000001,18.7,21.3,1963.0
2133,2019,MG,3167103,131,14.692307692307692,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,529462.35,7848313.28,10104404.339999998,99388869.48,0.375,3.6333333333333333,95.99166666666666,4.575,7.349999999999999,88.075,11.381818181818183,17.208333333333336,23.025,20966.0
2134,2019,MG,3167202,1425,9.167254763585039,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,17827874.66,59132006.95,142265740.38,140366651.24999994,1.657142857142857,3.3500000000000005,94.99285714285715,8.090909090909092,9.245454545454544,82.66363636363636,15.58181818181818,22.264285714285712,23.65454545454546,239639.0
2135,2019,MG,3167301,21,,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,5852.76,2629401.06,755792.52,143161184.28000015,0.6727272727272727,3.9545454545454537,95.37272727272726,0.7999999999999999,9.200000000000001,90.0,20.0,15.718181818181817,24.599999999999998,2261.0
2136,2019,MG,3167400,57,57.0,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,367537.88,1613518.4,5758448.8,122068857.15,0.32499999999999996,3.575,96.10000000000001,1.8,5.3,92.89999999999999,16.5,23.474999999999998,28.2,6238.0
2137,2019,MG,3167509,22,0.0,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,0.0,1914191.67,0.0,176923392.59999987,0.7000000000000001,17.3,82.0,5.5,27.8,66.7,10.600000000000001,20.8,24.0,2615.0
2138,2019,MG,3167608,120,0.6,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,579283.28,4787441.9,3425681.2199999997,147084094.65,1.0285714285714287,4.5357142857142865,94.43571428571428,5.3,5.9,88.80000000000001,15.79090909090909,17.57857142857143,27.944444444444443,19633.0
2139,2019,MG,3167707,50,34.8,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,0.0,3071317.88,1863260.3,114743659.10999998,0.7999999999999999,4.172727272727273,95.02727272727272,8.5,27.3,64.2,11.533333333333335,17.745454545454546,27.099999999999998,5553.0
2140,2019,MG,3167806,36,9.0,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,218899.02,2377997.7,2408333.88,126560438.85,0.0,3.0818181818181816,96.91818181818181,2.6999999999999997,6.3,91.0,13.233333333333334,21.572727272727278,28.8,6151.0
2141,2019,MG,3167905,32,3.75,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,195771.78,2610185.24,2266819.32,110422391.06999998,1.3545454545454547,7.836363636363637,90.80909090909091,6.8999999999999995,14.700000000000001,78.39999999999999,13.166666666666666,17.972727272727273,24.8,3750.0
2142,2019,MG,3168002,194,18.47826086956522,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,1838348.96,14906948.16,0.0,158826206.10000026,0.46923076923076923,1.176923076923077,98.35384615384615,3.66,5.2,91.14000000000001,17.5,22.815384615384616,29.560000000000002,34132.0
2143,2019,MG,3168051,31,,2352062.0,1106265.0,1189832.0,2979.0,24100.0,186.0,379.0,147.0,275004.30000000005,2274425.88,3964232.16,477434349.26000005,0.34545454545454546,3.6363636363636362,96.0181818181818,3.9,4.8,91.3,7.599999999999999,13.909090909090907,26.8,3110.0
